Date,Predicted_Pickups,Predicted_Returns
2023-10-10,163,131
2023-10-11,108,183
2023-10-12,101,270
2023-10-13,131,175
2023-10-14,117,11
2023-10-16,122,86
2023-10-17,137,85
2023-10-18,116,102
2023-10-19,122,257
2023-10-20,149,167
2023-10-21,152,3
2023-10-23,160,178
2023-10-24,147,174
2023-10-25,96,54
2023-10-26,83,103
2023-10-27,122,346
2023-10-28,115,103
2023-10-30,140,121
2023-10-31,156,201
2023-11-01,114,91
2023-11-02,110,352
2023-11-03,142,67
2023-11-04,149,77
2023-11-06,151,13
2023-11-07,199,82
2023-11-08,223,58
2023-11-09,163,75
2023-11-10,166,47
2023-11-11,170,3
2023-11-13,134,264
2023-11-14,127,177
2023-11-15,34,98
2023-11-16,36,322
2023-11-17,28,115
2023-11-18,58,45
2023-11-20,87,196
2023-11-21,90,82
2023-11-22,115,173
2023-11-23,142,2
2023-11-24,204,104
2023-11-25,172,1
2023-11-27,156,97
2023-11-28,175,91
2023-11-29,107,213
2023-11-30,85,127
2023-12-01,104,58
2023-12-02,80,31
2023-12-04,89,134
2023-12-05,57,545
2023-12-06,35,249
2023-12-07,29,157
2023-12-08,97,70
2023-12-11,147,59
2023-12-12,167,59
2023-12-13,163,71
2023-12-14,178,272
2023-12-15,197,174
2023-12-16,239,21
2023-12-18,248,103
2023-12-19,151,134
2023-12-20,105,144
2023-12-21,80,119
2023-12-22,100,46
2023-12-23,124,3
2023-12-26,131,114
2023-12-27,159,144
2023-12-28,103,249
2023-12-29,62,83
2023-12-30,97,1
2024-01-02,106,82
2024-01-03,101,231
2024-01-04,73,202
2024-01-05,56,134
2024-01-08,90,264
2024-01-09,113,128
2024-01-10,126,116
2024-01-11,131,39
2024-01-12,104,89
2024-01-13,123,20
2024-01-15,171,162
2024-01-16,197,240
2024-01-17,156,93
2024-01-18,137,89
2024-01-19,137,198
2024-01-20,87,28
2024-01-22,94,131
2024-01-23,84,83
2024-01-24,111,94
2024-01-25,122,300
2024-01-26,138,292
2024-01-27,119,23
2024-01-29,109,178
2024-01-30,110,129
2024-01-31,129,147
2024-02-01,108,231
2024-02-02,143,161
2024-02-03,153,40
2024-02-05,182,89
2024-02-06,218,116
2024-02-07,176,110
2024-02-08,125,231
2024-02-09,151,128
2024-02-10,141,41
2024-02-12,147,110
2024-02-13,148,178
2024-02-14,106,248
2024-02-15,76,238
2024-02-16,104,140
2024-02-17,123,11
2024-02-19,146,65
2024-02-20,166,97
2024-02-21,140,115
2024-02-22,139,179
2024-02-23,163,141
2024-02-24,172,25
2024-02-26,161,91
2024-02-27,135,101
2024-02-28,93,156
2024-02-29,71,108
2024-03-01,104,149
2024-03-02,115,3
2024-03-04,126,45
2024-03-05,130,58
2024-03-06,108,34
2024-03-07,96,70
2024-03-08,112,56
2024-03-09,112,7
2024-03-11,101,18
2024-03-12,87,45
2024-03-15,61,8
2024-03-18,38,7
2024-03-19,51,21
2024-03-20,48,13
2024-03-21,42,14
2024-03-22,42,42
2024-03-23,29,48
2024-03-25,16,27
2024-03-26,20,17
2024-03-27,23,138
2024-03-28,3,102
2024-03-29,8,41
2024-04-01,33,176
2024-04-02,14,39
2024-04-03,33,58
2024-04-04,50,6
2024-04-05,65,38
2024-04-08,70,68
2024-04-09,84,162
2024-04-10,92,161
2024-04-11,66,81
2024-04-12,57,66
2024-04-15,79,66
2024-04-16,48,89
2024-04-17,59,112
2024-04-18,62,89
2024-04-19,90,204
2024-04-20,104,17
2024-04-22,121,94
2024-04-23,108,115
2024-04-24,83,216
2024-04-25,71,346
2024-04-26,67,200
2024-04-27,83,1
2024-04-29,120,56
2024-04-30,133,97
2024-05-01,153,190
2024-05-02,123,536
2024-05-03,132,101
2024-05-04,168,18
2024-05-06,199,79
2024-05-07,204,166
2024-05-08,134,78
2024-05-09,121,175
2024-05-10,165,167
2024-05-11,193,9
2024-05-13,210,114
2024-05-14,219,200
2024-05-15,79,288
2024-05-16,61,506
2024-05-17,77,164
2024-05-18,108,66
2024-05-20,134,145
2024-05-21,157,206
2024-05-22,158,239
2024-05-23,157,194
2024-05-24,226,214
2024-05-25,257,15
2024-05-28,246,120
2024-05-29,262,229
2024-05-30,153,280
2024-05-31,140,278
2024-06-01,165,18
2024-06-03,191,104
2024-06-04,194,108
2024-06-05,177,104
2024-06-06,172,190
2024-06-07,139,129
2024-06-08,193,19
2024-06-10,203,140
2024-06-11,193,201
2024-06-12,139,394
2024-06-13,43,236
2024-06-14,90,98
2024-06-15,114,5
2024-06-17,147,301
2024-06-18,143,276
2024-06-19,125,72
2024-06-20,153,264
2024-06-21,205,134
2024-06-22,231,57
2024-06-24,230,247
2024-06-25,163,248
2024-06-26,130,290
2024-06-27,142,276
2024-06-28,207,229
2024-06-29,173,165
2024-07-01,163,51
2024-07-02,211,173
2024-07-03,192,156
2024-07-04,217,4
2024-07-06,253,20
2024-07-08,241,138
2024-07-09,236,179
2024-07-10,187,165
2024-07-11,142,109
2024-07-12,109,311
2024-07-13,76,116
2024-07-15,108,201
2024-07-16,76,165
2024-07-17,60,179
2024-07-18,117,93
2024-07-19,179,49
2024-07-20,199,21
2024-07-22,190,105
2024-07-23,198,133
2024-07-24,211,164
2024-07-25,149,153
2024-07-26,143,339
2024-07-27,96,63
2024-07-29,103,216
2024-07-30,70,385
2024-07-31,57,256
2024-08-01,82,181
2024-08-02,152,147
2024-08-03,188,17
2024-08-05,222,84
2024-08-06,250,199
2024-08-07,257,148
2024-08-08,204,158
2024-08-09,241,171
2024-08-10,232,51
2024-08-12,168,121
2024-08-13,139,156
2024-08-14,115,130
2024-08-15,101,124
2024-08-16,142,63
2024-08-17,166,63
2024-08-19,144,140
2024-08-20,137,350
2024-08-21,99,396
2024-08-22,54,216
2024-08-23,104,157
2024-08-24,124,37
2024-08-26,151,230
2024-08-27,145,254
2024-08-28,155,247
2024-08-29,196,265
2024-08-30,243,213
2024-08-31,276,83
2024-09-03,237,122
2024-09-04,196,212
2024-09-05,184,288
2024-09-06,183,280
2024-09-07,234,252
2024-09-09,225,196
2024-09-10,213,376
2024-09-11,186,297
2024-09-12,156,411
2024-09-13,127,465
2024-09-14,199,249
2024-09-16,275,341
2024-09-17,294,179
2024-09-18,321,359
2024-09-19,329,343
2024-09-20,346,352
2024-09-21,388,155
2024-09-23,379,217
2024-09-24,410,346
2024-09-25,367,383
2024-09-26,291,247
2024-09-27,307,157
2024-09-28,305,41
2024-09-30,344,316
2024-10-01,320,387
2024-10-02,278,336
2024-10-03,225,208
2024-10-04,273,238
2024-10-05,296,51
2024-10-07,282,389
2024-10-08,218,371
2024-10-09,196,551
2024-10-10,190,293
2024-10-11,306,310
2024-10-12,311,45
2024-10-14,315,168
2024-10-15,313,244
2024-10-16,332,306
2024-10-17,344,310
2024-10-18,431,243
2024-10-19,399,44
2024-10-21,367,254
2024-10-22,271,289
2024-10-23,234,213
2024-10-24,195,136
2024-10-25,281,157
2024-10-26,308,25
2024-10-28,306,161
2024-10-29,290,246
2024-10-30,239,122
2024-10-31,212,168
2024-11-01,259,184
2024-11-02,231,18
2024-11-04,193,127
2024-11-05,168,171
2024-11-06,163,190
2024-11-07,139,118
2024-11-08,193,119
2024-11-09,197,17
2024-11-11,167,172
2024-11-12,169,221
2024-11-13,140,133
2024-11-14,119,76
2024-11-15,178,113
2024-11-16,187,8
2024-11-18,173,143
2024-11-19,145,142
2024-11-20,139,180
2024-11-21,129,61
2024-11-22,185,66
2024-11-23,174,20
2024-11-25,133,77
2024-11-26,124,110
2024-11-27,128,111
2024-11-28,101,1
2024-11-29,160,2
2024-11-30,158,4
2024-12-02,134,121
2024-12-03,77,81
2024-12-04,65,80
2024-12-05,43,90
2024-12-06,71,67
2024-12-07,81,7
2024-12-09,143,59
2024-12-10,58,109
2024-12-11,23,81
2024-12-12,76,82
2024-12-13,230,52
2024-12-14,294,7
2024-12-16,497,95
2024-12-17,409,48
2024-12-18,481,38
2024-12-19,595,43
2024-12-20,901,73
2024-12-21,955,33
2024-12-23,930,76
2024-12-24,835,18
2024-12-26,942,65
2024-12-27,839,89
2024-12-28,1146,16
2024-12-30,1164,94
2025-01-31,6868,254
2025-02-01,7549,20
2025-02-04,7451,325
2025-02-05,6794,246
2025-02-06,5825,693
2025-02-07,6550,909
2025-02-08,6229,239
2025-02-10,6794,1299
2025-02-11,7091,1426
2025-02-12,4647,2219
2025-02-13,3630,2659
2025-02-14,6377,3079
2025-02-15,6291,1165
2025-02-17,7429,2611
2025-02-18,8329,4184
2025-02-19,7835,4828
2025-02-20,7392,3912
2025-02-21,9813,3222
2025-02-22,9438,227
2025-02-24,8714,3523
2025-02-25,7547,4716
2025-02-26,6779,4009
2025-02-27,6287,4067
2025-02-28,7891,4784
2025-03-01,7952,1235
2025-03-03,8166,5180
2025-03-04,6599,4094
2025-03-05,6364,4619
2025-03-06,6538,4154
2025-03-07,9663,3025
2025-03-10,11005,2187
2025-03-11,11640,3034
2025-03-12,11085,4046
2025-03-13,8656,2649
2025-03-08,10535,38
2025-03-14,10256,2781
2025-03-15,8738,452
2025-03-17,8324,4728
2025-03-18,6821,3755
2025-03-19,5056,3546
2025-03-20,4219,2929
2025-03-21,7056,4026
2025-03-22,7845,802
2025-03-24,8592,4231
2025-03-25,7471,5641
2025-03-26,7320,5530
2025-03-27,6762,5031
2025-03-28,9287,6209
2025-03-29,7474,767
2025-03-31,8158,3612
2025-04-01,8126,3680
2025-04-02,8670,4879
2025-04-03,7994,3421
2025-04-04,10656,3718
2025-04-05,10882,757
2025-04-07,10331,4574
2025-04-08,9784,5233
2025-04-09,8490,6012
2025-04-10,5450,4651
2025-04-11,7881,4148
2025-04-12,8163,716
2025-04-14,8852,5598
2025-04-15,7524,7820
2025-04-16,6630,6906
2025-04-17,6179,6091
2025-04-18,9450,5479
2025-04-19,9880,1129
2025-04-21,10898,3983
2025-04-22,10490,4200
2025-04-23,10714,6146
2025-04-24,10843,5325
2025-04-25,14122,6691
2025-04-26,13448,1011
2025-04-28,11913,4059
2025-04-29,10745,6348
2025-04-30,8882,5352
2025-05-01,7625,1776
2025-05-02,10717,3084
2025-05-03,10982,600
2025-05-05,10877,2830
2025-05-06,10205,3556
2025-05-07,9076,2428
2025-05-08,7124,2252
2025-05-09,8684,1384
2025-05-10,8628,936
2025-05-12,6544,2078
2025-05-13,4883,2084
2025-05-14,5194,1532
2025-05-15,4633,1347
2025-05-16,6039,871
2025-05-17,6017,320
2025-05-19,5121,2256
2025-05-20,4689,2559
2025-05-21,3941,2058
2025-05-22,3787,1336
2025-05-23,4576,2300
2025-05-24,3838,331
2025-05-27,4609,1263
2025-05-28,3925,889
2025-05-29,4463,736
2025-05-30,5703,769
2025-05-31,7510,345
2025-06-02,7292,1093
2025-06-03,6998,784
2025-06-04,6509,1177
2025-06-05,5999,237
2025-06-06,3999,130
2025-06-07,5345,52
2025-06-09,4193,389
2025-06-10,4046,444
2025-06-11,3736,729
2025-06-12,3439,805
2025-06-13,3776,597
2025-06-14,3069,270
2025-06-16,2977,409
2025-06-17,1771,519
2025-06-18,2002,727
2025-06-19,2350,240
2025-06-20,3574,688
2025-06-21,3689,111
2025-06-23,3833,1057
2025-06-24,3385,844
2025-06-25,2627,683
2025-06-26,2465,958
2025-06-27,2963,1338
2025-06-28,3014,365
2025-06-30,3474,1553
2025-07-01,2622,1036
2025-07-02,3256,757
2025-07-03,3221,1210
2025-07-07,4047,1596
2025-07-08,3974,896
2025-07-09,4400,889
2025-07-04,4433,174
2025-07-10,4385,516
2025-07-11,3589,767
2025-07-14,3423,1386
2025-07-15,3023,1114
2025-07-12,4237,260
2025-07-16,2930,680
2025-07-17,2515,1259
2025-07-18,3176,637
2025-07-21,2185,1104
2025-07-23,2203,460
2025-07-22,2081,1112
2025-07-25,2494,1071
2025-07-19,2283,159
2025-07-24,2099,814
2025-07-28,1774,927
2025-07-29,1840,864
2025-07-26,1952,174
2025-07-30,1515,1101
2025-08-01,1855,678
2025-08-04,1344,1022
2025-07-31,1517,898
2025-08-02,1606,59
2025-08-05,1510,512
2025-08-06,1475,474
