Date,LOT,Predicted_Pickups,Predicted_Returns
2023-09-25,0,-371601,111
2023-09-26,0,-369721,109
2023-09-27,0,-367847,113
2023-09-28,0,-365978,293
2023-09-29,0,-364116,111
2023-09-30,0,-362260,5
2023-10-02,0,-358567,185
2023-10-03,0,-356729,171
2023-10-04,0,-354897,95
2023-10-05,0,-353071,206
2023-10-06,0,-351252,105
2023-10-07,0,-349438,6
2023-10-09,0,-345829,129
2023-10-10,0,-344033,131
2023-10-11,0,-342243,183
2023-10-12,0,-340460,270
2023-10-13,0,-338682,175
2023-10-14,0,-336910,11
2023-10-16,0,-333385,86
2023-10-17,0,-331631,85
2023-10-18,0,-329883,102
2023-10-19,0,-328140,257
2023-10-20,0,-326404,167
2023-10-21,0,-324674,3
2023-10-23,0,-321231,178
2023-10-24,0,-319518,174
2023-10-25,0,-317811,54
2023-10-26,0,-316110,103
2023-10-27,0,-314415,346
2023-10-28,0,-312725,103
2023-10-30,0,-309364,121
2023-10-31,0,-307692,201
2023-11-01,0,-306026,91
2023-11-02,0,-304365,352
2023-11-03,0,-302710,67
2023-11-04,0,-301061,77
2023-11-06,0,-297781,13
2023-11-07,0,-296149,82
2023-11-08,0,-294523,58
2023-11-09,0,-292902,75
2023-11-10,0,-291288,47
2023-11-11,0,-289679,3
2023-11-13,0,-286478,264
2023-11-14,0,-284886,177
2023-11-15,0,-283299,98
2023-11-16,0,-281719,322
2023-11-17,0,-280143,115
2023-11-18,0,-278574,45
2023-11-20,0,-275452,196
2023-11-21,0,-273899,82
2023-11-22,0,-272352,173
2023-11-23,0,-270810,2
2023-11-24,0,-269274,104
2023-11-25,0,-267744,1
2023-11-27,0,-264699,97
2023-11-28,0,-263185,91
2023-11-29,0,-261677,213
2023-11-30,0,-260174,127
2023-12-01,0,-258676,58
2023-12-02,0,-257184,31
2023-12-04,0,-254217,134
2023-12-05,0,-252741,545
2023-12-06,0,-251271,249
2023-12-07,0,-249806,157
2023-12-08,0,-248347,70
2023-12-11,0,-244002,59
2023-12-12,0,-242564,59
2023-12-13,0,-241131,71
2023-12-14,0,-239704,272
2023-12-15,0,-238283,174
2023-12-16,0,-236866,21
2023-12-18,0,-234050,103
2023-12-19,0,-232649,134
2023-12-20,0,-231254,144
2023-12-21,0,-229864,119
2023-12-22,0,-228480,46
2023-12-23,0,-227101,3
2023-12-26,0,-222994,114
2023-12-27,0,-221636,144
2023-12-28,0,-220283,249
2023-12-29,0,-218935,83
2023-12-30,0,-217593,1
2024-01-02,0,-213596,82
2024-01-03,0,-212274,231
2024-01-04,0,-210957,202
2024-01-05,0,-209646,134
2024-01-08,0,-205741,264
2024-01-09,0,-204450,128
2024-01-10,0,-203164,116
2024-01-11,0,-201883,39
2024-01-12,0,-200607,89
2024-01-13,0,-199336,20
2024-01-15,0,-196810,162
2024-01-16,0,-195554,240
2024-01-17,0,-194304,93
2024-01-18,0,-193058,89
2024-01-19,0,-191817,198
2024-01-20,0,-190582,28
2024-01-22,0,-188125,131
2024-01-23,0,-186905,83
2024-01-24,0,-185689,94
2024-01-25,0,-184478,300
2024-01-26,0,-183272,292
2024-01-27,0,-182071,23
2024-01-29,0,-179684,178
2024-01-30,0,-178498,129
2024-01-31,0,-177316,147
2024-02-01,0,-176140,231
2024-02-02,0,-174968,161
2024-02-03,0,-173802,40
2024-02-05,0,-171483,89
2024-02-06,0,-170331,116
2024-02-07,0,-169183,110
2024-02-08,0,-168041,231
2024-02-09,0,-166903,128
2024-02-10,0,-165770,41
2024-02-12,0,-163518,110
2024-02-13,0,-162400,178
2024-02-14,0,-161286,248
2024-02-15,0,-160176,238
2024-02-16,0,-159072,140
2024-02-17,0,-157972,11
2024-02-19,0,-155787,65
2024-02-20,0,-154701,97
2024-02-21,0,-153620,115
2024-02-22,0,-152544,179
2024-02-23,0,-151473,141
2024-02-24,0,-150406,25
2024-02-26,0,-148286,91
2024-02-27,0,-147233,101
2024-02-28,0,-146184,156
2024-02-29,0,-145140,108
2024-03-01,0,-144101,149
2024-03-02,0,-143067,3
2024-03-04,0,-141011,45
2024-03-05,0,-139990,58
2024-03-06,0,-138974,34
2024-03-07,0,-137962,70
2024-03-08,0,-136955,56
2024-03-09,0,-135952,7
2024-03-11,0,-133960,18
2024-03-12,0,-132970,45
2024-03-15,0,-130029,8
2024-03-18,0,-127128,7
2024-03-19,0,-126170,21
2024-03-20,0,-125216,13
2024-03-21,0,-124267,14
2024-03-22,0,-123322,42
2024-03-23,0,-122381,48
2024-03-25,0,-120513,27
2024-03-26,0,-119586,17
2024-03-27,0,-118663,138
2024-03-28,0,-117744,102
2024-03-29,0,-116829,41
2024-04-01,0,-114112,176
2024-04-02,0,-113214,39
2024-04-03,0,-112321,58
2024-04-04,0,-111433,6
2024-04-05,0,-110548,38
2024-04-08,0,-107920,68
2024-04-09,0,-107052,162
2024-04-10,0,-106189,161
2024-04-11,0,-105330,81
2024-04-12,0,-104475,66
2024-04-15,0,-101935,66
2024-04-16,0,-101096,89
2024-04-17,0,-100262,112
2024-04-18,0,-99432,89
2024-04-19,0,-98606,204
2024-04-20,0,-97784,17
2024-04-22,0,-96152,94
2024-04-23,0,-95343,115
2024-04-24,0,-94537,216
2024-04-25,0,-93736,346
2024-04-26,0,-92938,200
2024-04-27,0,-92145,1
2024-04-29,0,-90570,56
2024-04-30,0,-89789,97
2024-05-01,0,-89011,190
2024-05-02,0,-88238,536
2024-05-03,0,-87469,101
2024-05-04,0,-86703,18
2024-05-06,0,-85184,79
2024-05-07,0,-84431,166
2024-05-08,0,-83681,78
2024-05-09,0,-82935,175
2024-05-10,0,-82193,167
2024-05-11,0,-81456,9
2024-05-13,0,-79991,114
2024-05-14,0,-79265,200
2024-05-15,0,-78543,288
2024-05-16,0,-77824,506
2024-05-17,0,-77109,164
2024-05-18,0,-76399,66
2024-05-20,0,-74988,145
2024-05-21,0,-74289,206
2024-05-22,0,-73593,239
2024-05-23,0,-72901,194
2024-05-24,0,-72213,214
2024-05-25,0,-71529,15
2024-05-28,0,-69499,120
2024-05-29,0,-68829,229
2024-05-30,0,-68164,280
2024-05-31,0,-67502,278
2024-06-01,0,-66843,18
2024-06-03,0,-65538,104
2024-06-04,0,-64891,108
2024-06-05,0,-64247,104
2024-06-06,0,-63607,190
2024-06-07,0,-62971,129
2024-06-08,0,-62338,19
2024-06-10,0,-61084,140
2024-06-11,0,-60462,201
2024-06-12,0,-59844,394
2024-06-13,0,-59229,236
2024-06-14,0,-58618,98
2024-06-15,0,-58011,5
2024-06-17,0,-56806,301
2024-06-18,0,-56210,276
2024-06-19,0,-55616,72
2024-06-20,0,-55026,264
2024-06-21,0,-54440,134
2024-06-22,0,-53857,57
2024-06-24,0,-52702,247
2024-06-25,0,-52129,248
2024-06-26,0,-51560,290
2024-06-27,0,-50995,276
2024-06-28,0,-50433,229
2024-06-29,0,-49874,165
2024-07-01,0,-48767,51
2024-07-02,0,-48218,173
2024-07-03,0,-47673,156
2024-07-04,0,-47131,4
2024-07-06,0,-46058,20
2024-07-08,0,-44998,138
2024-07-09,0,-44473,179
2024-07-10,0,-43951,165
2024-07-11,0,-43433,109
2024-07-12,0,-42918,311
2024-07-13,0,-42406,116
2024-07-15,0,-41392,201
2024-07-16,0,-40890,165
2024-07-17,0,-40391,179
2024-07-18,0,-39896,93
2024-07-19,0,-39404,49
2024-07-20,0,-38914,21
2024-07-22,0,-37946,105
2024-07-23,0,-37466,133
2024-07-24,0,-36990,164
2024-07-25,0,-36517,153
2024-07-26,0,-36047,339
2024-07-27,0,-35580,63
2024-07-29,0,-34656,216
2024-07-30,0,-34198,385
2024-07-31,0,-33744,256
2024-08-01,0,-33293,181
2024-08-02,0,-32845,147
2024-08-03,0,-32400,17
2024-08-05,0,-31519,84
2024-08-06,0,-31083,199
2024-08-07,0,-30650,148
2024-08-08,0,-30220,158
2024-08-09,0,-29793,171
2024-08-10,0,-29370,51
2024-08-12,0,-28531,121
2024-08-13,0,-28116,156
2024-08-14,0,-27704,130
2024-08-15,0,-27295,124
2024-08-16,0,-26890,63
2024-08-17,0,-26487,63
2024-08-19,0,-25689,140
2024-08-20,0,-25295,350
2024-08-21,0,-24904,396
2024-08-22,0,-24516,216
2024-08-23,0,-24130,157
2024-08-24,0,-23747,37
2024-08-26,0,-22991,230
2024-08-27,0,-22617,254
2024-08-28,0,-22245,247
2024-08-29,0,-21877,265
2024-08-30,0,-21511,213
2024-08-31,0,-21149,83
2024-09-03,0,-20077,122
2024-09-04,0,-19725,212
2024-09-05,0,-19376,288
2024-09-06,0,-19030,280
2024-09-07,0,-18687,252
2024-09-09,0,-18008,196
2024-09-10,0,-17673,376
2024-09-11,0,-17340,297
2024-09-12,0,-17011,411
2024-09-13,0,-16683,465
2024-09-14,0,-16359,249
2024-09-16,0,-15718,341
2024-09-17,0,-15401,179
2024-09-18,0,-15087,359
2024-09-19,0,-14776,343
2024-09-20,0,-14467,352
2024-09-21,0,-14161,155
2024-09-23,0,-13557,217
2024-09-24,0,-13258,346
2024-09-25,0,-12963,383
2024-09-26,0,-12669,247
2024-09-27,0,-12379,157
2024-09-28,0,-12091,41
2024-09-30,0,-11522,316
2024-10-01,0,-11241,387
2024-10-02,0,-10963,336
2024-10-03,0,-10687,208
2024-10-04,0,-10414,238
2024-10-05,0,-10143,51
2024-10-07,0,-9609,389
2024-10-08,0,-9346,371
2024-10-09,0,-9085,551
2024-10-10,0,-8827,293
2024-10-11,0,-8570,310
2024-10-12,0,-8317,45
2024-10-14,0,-7816,168
2024-10-15,0,-7570,244
2024-10-16,0,-7326,306
2024-10-17,0,-7084,310
2024-10-18,0,-6844,243
2024-10-19,0,-6607,44
2024-10-21,0,-6139,254
2024-10-22,0,-5909,289
2024-10-23,0,-5681,213
2024-10-24,0,-5455,136
2024-10-25,0,-5232,157
2024-10-26,0,-5011,25
2024-10-28,0,-4575,161
2024-10-29,0,-4361,246
2024-10-30,0,-4148,122
2024-10-31,0,-3938,168
2024-11-01,0,-3730,184
2024-11-02,0,-3525,18
2024-11-04,0,-3120,127
2024-11-05,0,-2921,171
2024-11-06,0,-2724,190
2024-11-07,0,-2529,118
2024-11-08,0,-2336,119
2024-11-09,0,-2146,17
2024-11-11,0,-1771,172
2024-11-12,0,-1586,221
2024-11-13,0,-1404,133
2024-11-14,0,-1224,76
2024-11-15,0,-1046,113
2024-11-16,0,-870,8
2024-11-18,0,-524,143
2024-11-19,0,-354,142
2024-11-20,0,-186,180
2024-11-21,0,-20,61
2024-11-22,0,142,66
2024-11-23,0,304,20
2024-11-25,0,622,77
2024-11-26,0,778,110
2024-11-27,0,932,111
2024-11-28,0,1084,1
2024-11-29,0,1235,2
2024-11-30,0,1383,4
2024-12-02,0,1674,121
2024-12-03,0,1816,81
2024-12-04,0,1957,80
2024-12-05,0,2096,90
2024-12-06,0,2233,67
2024-12-07,0,2368,7
2024-12-09,0,2633,59
2024-12-10,0,2763,109
2024-12-11,0,2890,81
2024-12-12,0,3016,82
2024-12-13,0,3141,52
2024-12-14,0,3263,7
2024-12-16,0,3503,95
2024-12-17,0,3620,48
2024-12-18,0,3735,38
2024-12-19,0,3849,43
2024-12-20,0,3961,73
2024-12-21,0,4071,33
2024-12-23,0,4287,76
2024-12-24,0,4392,18
2024-12-26,0,4597,65
2024-12-27,0,4698,89
2024-12-28,0,4796,16
2024-12-30,0,4988,94
2025-01-31,0,7239,254
2025-02-01,0,7287,20
2025-02-04,0,7421,400
2025-02-05,0,7463,398
